epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
151,320.786,0.56334,0.57968,0.87943,0.98588,0.98357,0.98574,0.80997,0.67002,0.49324,0.86372,0.000321875,0.000321875,0.000321875
152,322.753,0.53949,0.52858,0.86589,0.98171,0.99444,0.98555,0.82406,0.64159,0.4784,0.85971,0.000315687,0.000315687,0.000315687
153,324.734,0.60192,0.56323,0.85225,0.98171,0.99444,0.98555,0.82406,0.64159,0.4784,0.85971,0.0003095,0.0003095,0.0003095
154,327.291,0.60381,0.54699,0.84763,0.97986,0.99444,0.98626,0.82661,0.63384,0.46718,0.85637,0.000303313,0.000303313,0.000303313
155,329.148,0.55662,0.55111,0.87491,0.97986,0.99444,0.98626,0.82661,0.63384,0.46718,0.85637,0.000297125,0.000297125,0.000297125
156,331.301,0.60934,0.55928,0.86284,0.9824,0.99444,0.98577,0.82675,0.62832,0.46829,0.8541,0.000290937,0.000290937,0.000290937
157,333.079,0.55041,0.52496,0.8583,0.9824,0.99444,0.98577,0.82675,0.62832,0.46829,0.8541,0.00028475,0.00028475,0.00028475
158,334.952,0.57294,0.5483,0.86276,0.98361,0.99444,0.98555,0.82259,0.63954,0.47124,0.85347,0.000278562,0.000278562,0.000278562
159,337.021,0.57511,0.53058,0.85874,0.98361,0.99444,0.98555,0.82259,0.63954,0.47124,0.85347,0.000272375,0.000272375,0.000272375
160,339.964,0.58775,0.55618,0.86689,0.98505,0.99342,0.98556,0.82399,0.64811,0.47359,0.85187,0.000266187,0.000266187,0.000266187
161,342.003,0.56593,0.53025,0.86862,0.98505,0.99342,0.98556,0.82399,0.64811,0.47359,0.85187,0.00026,0.00026,0.00026
162,343.861,0.61149,0.56058,0.87931,0.98817,0.98385,0.98535,0.82709,0.64417,0.47551,0.85146,0.000253812,0.000253812,0.000253812
163,345.773,0.57963,0.54721,0.86488,0.98817,0.98385,0.98535,0.82709,0.64417,0.47551,0.85146,0.000247625,0.000247625,0.000247625
